12,,,,,,,
GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Differentially expressed?
ENSMUSG00000002944.15_Cd36,509.8631746,-1.752881697,0.169797561,-10.32336205,5.53E-25,7.74E-21,DOWN
ENSMUSG00000060227.15_Casc4,54.68648883,-1.129941656,0.133340303,-8.474119449,2.37E-17,1.66E-13,NS
ENSMUSG00000028712.12_Cyp4a31,113.8755844,-1.716138713,0.207161949,-8.28404407,1.19E-16,5.56E-13,DOWN
ENSMUSG00000004341.7_Gpx6,21.16676155,2.243760932,0.274173461,8.183727635,2.75E-16,9.63E-13,UP
ENSMUSG00000055254.14_Ntrk2,92.09555211,2.180930485,0.269933899,8.079498316,6.50E-16,1.82E-12,UP
ENSMUSG00000028715.2_Cyp4a14,8833.329802,-1.656954323,0.214193456,-7.735784063,1.03E-14,2.40E-11,DOWN
ENSMUSG00000026249.10_Serpine2,141.5467293,0.860534643,0.122730144,7.011599717,2.36E-12,4.71E-09,NS
ENSMUSG00000037440.8_Vnn1,383.4538265,-1.173207414,0.175967004,-6.667201168,2.61E-11,4.56E-08,NS
ENSMUSG00000072849.10_Serpina1e,3237.553665,2.940529513,0.475834334,6.179733789,6.42E-10,9.99E-07,UP
ENSMUSG00000023232.17_Serinc2,50.52649361,-0.93404233,0.152480862,-6.125636493,9.03E-10,1.26E-06,NS
ENSMUSG00000029314.14_Gpat3,47.94729709,-1.643784868,0.276951246,-5.935286046,2.93E-09,3.73E-06,DOWN
ENSMUSG00000027533.10_Fabp5,490.0161439,1.854049122,0.319506684,5.802849242,6.52E-09,7.61E-06,UP
ENSMUSG00000040998.18_Npnt,12.14952334,-2.70133237,0.475606061,-5.679768595,1.35E-08,1.45E-05,DOWN
ENSMUSG00000010025.19_Aldh3a2,3114.208606,-0.595584287,0.105985565,-5.619484934,1.92E-08,1.92E-05,NS
ENSMUSG00000064356.3_mt-Atp8,437.5313779,-8.110549001,1.45214474,-5.585220797,2.33E-08,2.18E-05,DOWN
ENSMUSG00000002265.16_Peg3,120.1408616,-1.057130433,0.19103722,-5.533635986,3.14E-08,2.67E-05,NS
ENSMUSG00000068762.11_Gstm6,664.5261615,0.533715275,0.096546626,5.528057218,3.24E-08,2.67E-05,NS
ENSMUSG00000041293.5_Adgrf1,60.14224266,1.557341874,0.28324613,5.498192938,3.84E-08,2.98E-05,UP
ENSMUSG00000025197.9_Cyp2c44,2585.326892,0.548147842,0.102262429,5.360207521,8.31E-08,6.13E-05,NS
ENSMUSG00000031441.15_Atp11a,107.4617786,0.999046477,0.189548146,5.270673964,1.36E-07,9.52E-05,NS
ENSMUSG00000063354.6_Slc39a4,116.0525566,-1.431798937,0.275218671,-5.202404806,1.97E-07,0.000131169,NS
ENSMUSG00000000440.12_Pparg,66.24828233,-0.918099417,0.179860585,-5.104505884,3.32E-07,0.000205647,NS
ENSMUSG00000058571.10_Gpc6,43.32578487,1.053942554,0.206613457,5.101035389,3.38E-07,0.000205647,NS
ENSMUSG00000027692.16_Tnik,20.32629216,0.627782474,0.126164837,4.975890981,6.49E-07,0.000336817,NS
ENSMUSG00000029338.13_Antxr2,170.6835498,-0.461691535,0.092567592,-4.987615274,6.11E-07,0.000336817,NS
