,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Differentially expressed?
ENSMUSG00000000183.6_Fgf6,0,NA,NA,NA,NA,NA,
ENSMUSG00000000215.11_Ins2,0,NA,NA,NA,NA,NA,
ENSMUSG00000000263.15_Glra1,0,NA,NA,NA,NA,NA,
ENSMUSG00000000381.10_Wap,0,NA,NA,NA,NA,NA,
ENSMUSG00000000701.8_Tcl1b5,0,NA,NA,NA,NA,NA,
ENSMUSG00000000730.13_Dnmt3l,0,NA,NA,NA,NA,NA,
ENSMUSG00000000938.11_Hoxa10,0,NA,NA,NA,NA,NA,
ENSMUSG00000001023.10_S100a5,0,NA,NA,NA,NA,NA,
ENSMUSG00000001168.16_Oas1h,0,NA,NA,NA,NA,NA,
ENSMUSG00000001496.15_Nkx2-1,0,NA,NA,NA,NA,NA,
ENSMUSG00000001504.10_Irx2,0,NA,NA,NA,NA,NA,
ENSMUSG00000001510.8_Dlx3,0,NA,NA,NA,NA,NA,
ENSMUSG00000001566.9_Mnx1,0,NA,NA,NA,NA,NA,
ENSMUSG00000001655.6_Hoxc13,0,NA,NA,NA,NA,NA,
ENSMUSG00000001656.3_Hoxc11,0,NA,NA,NA,NA,NA,
ENSMUSG00000001823.5_Hoxd12,0,NA,NA,NA,NA,NA,
ENSMUSG00000001901.15_Kcnh6,0,NA,NA,NA,NA,NA,
ENSMUSG00000001988.9_Npas1,0,NA,NA,NA,NA,NA,
ENSMUSG00000002930.6_Ppp1r17,0,NA,NA,NA,NA,NA,
ENSMUSG00000003436.11_Dll3,0,NA,NA,NA,NA,NA,
ENSMUSG00000004231.15_Pax2,0,NA,NA,NA,NA,NA,
ENSMUSG00000004892.13_Bcan,0,NA,NA,NA,NA,NA,
ENSMUSG00000005202.2_Shbg,0,NA,NA,NA,NA,NA,
ENSMUSG00000005355.9_Casp14,0,NA,NA,NA,NA,NA,
ENSMUSG00000005474.9_Myl10,0,NA,NA,NA,NA,NA,
ENSMUSG00000005503.8_Evx1,0,NA,NA,NA,NA,NA,
ENSMUSG00000005716.16_Pvalb,0,NA,NA,NA,NA,NA,
ENSMUSG00000005891.7_Prl4a1,0,NA,NA,NA,NA,NA,
ENSMUSG00000006143.12_Upk3bl,0,NA,NA,NA,NA,NA,
ENSMUSG00000006200.3_Rhox6,0,NA,NA,NA,NA,NA,
ENSMUSG00000006216.10_Clcnkb,0,NA,NA,NA,NA,NA,
ENSMUSG00000006270.7_Vax1,0,NA,NA,NA,NA,NA,
ENSMUSG00000006311.8_Etv2,0,NA,NA,NA,NA,NA,
ENSMUSG00000006490.2_Prl8a9,0,NA,NA,NA,NA,NA,
ENSMUSG00000006570.3_Defb2,0,NA,NA,NA,NA,NA,
ENSMUSG00000006948.7_Klk4,0,NA,NA,NA,NA,NA,
ENSMUSG00000007209.4_Ceacam9,0,NA,NA,NA,NA,NA,
ENSMUSG00000007457.3_2310003L06Rik,0,NA,NA,NA,NA,NA,
ENSMUSG00000007480.3_Mc5r,0,NA,NA,NA,NA,NA,
ENSMUSG00000008590.4_Htr3b,0,NA,NA,NA,NA,NA,
ENSMUSG00000008843.4_Cldn13,0,NA,NA,NA,NA,NA,
ENSMUSG00000008874.3_Clec3a,0,NA,NA,NA,NA,NA,
ENSMUSG00000009047.3_Gm5965,0,NA,NA,NA,NA,NA,
ENSMUSG00000009114.17_2610028H24Rik,0,NA,NA,NA,NA,NA,
ENSMUSG00000009356.12_Lpo,0,NA,NA,NA,NA,NA,
ENSMUSG00000009471.4_Myod1,0,NA,NA,NA,NA,NA,
ENSMUSG00000009551.2_6330409D20Rik,0,NA,NA,NA,NA,NA,
ENSMUSG00000009580.15_Odam,0,NA,NA,NA,NA,NA,
ENSMUSG00000009900.7_Wnt3a,0,NA,NA,NA,NA,NA,
ENSMUSG00000010086.17_Rnf112,0,NA,NA,NA,NA,NA,
ENSMUSG00000010841.13_1700006E09Rik,0,NA,NA,NA,NA,NA,
ENSMUSG00000011118.4_Panx3,0,NA,NA,NA,NA,NA,
ENSMUSG00000011486.14_Slc25a41,0,NA,NA,NA,NA,NA,
ENSMUSG00000012282.2_Wnt8a,0,NA,NA,NA,NA,NA,
ENSMUSG00000013091.5_Tmem190,0,NA,NA,NA,NA,NA,
ENSMUSG00000013643.13_Lypd8,0,NA,NA,NA,NA,NA,
ENSMUSG00000013653.2_1810065E05Rik,0,NA,NA,NA,NA,NA,
ENSMUSG00000013936.12_Myl2,0,NA,NA,NA,NA,NA,
ENSMUSG00000014351.12_Gip,0,NA,NA,NA,NA,NA,
ENSMUSG00000014747.6_Ankrd53,0,NA,NA,NA,NA,NA,
ENSMUSG00000015242.14_Nipsnap3a,0,NA,NA,NA,NA,NA,
ENSMUSG00000015441.3_Gzmf,0,NA,NA,NA,NA,NA,
ENSMUSG00000015443.8_Gzmn,0,NA,NA,NA,NA,NA,
ENSMUSG00000015579.4_Nkx2-5,0,NA,NA,NA,NA,NA,
ENSMUSG00000015787.15_Abo,0,NA,NA,NA,NA,NA,
ENSMUSG00000016982.6_Pom121l2,0,NA,NA,NA,NA,NA,
ENSMUSG00000017000.2_Svs6,0,NA,NA,NA,NA,NA,
ENSMUSG00000017003.7_Svs3a,0,NA,NA,NA,NA,NA,
