ID,Condition
CR-night-12h_00A,Night
CR-night-12h_04A,Night
CR-night-12h_08A,Night
CR-night-12h_12A,Night
CR-night-12h_16A,Night
CR-night-12h_20A,Night
CR-night-12h_24A,Night
CR-night-12h_28A,Night
CR-night-12h_32A,Night
CR-night-12h_36A,Night
CR-night-12h_40A,Night
CR-night-12h_44A,Night
CR-night-12h_00B,Night
CR-night-12h_04B,Night
CR-night-12h_08B,Night
CR-night-12h_12B,Night
CR-night-12h_16B,Night
CR-night-12h_20B,Night
CR-night-12h_24B,Night
CR-night-12h_28B,Night
CR-night-12h_32B,Night
CR-night-12h_36B,Night
CR-night-12h_40B,Night
CR-night-12h_44B,Night
CR-day-12h_00A,Day
CR-day-12h_04A,Day
CR-day-12h_08A,Day
CR-day-12h_12A,Day
CR-day-12h_16A,Day
CR-day-12h_20A,Day
CR-day-12h_24A,Day
CR-day-12h_28A,Day
CR-day-12h_32A,Day
CR-day-12h_36A,Day
CR-day-12h_40A,Day
CR-day-12h_44A,Day
CR-day-12h_00B,Day
CR-day-12h_04B,Day
CR-day-12h_08B,Day
CR-day-12h_12B,Day
CR-day-12h_16B,Day
CR-day-12h_20B,Day
CR-day-12h_24B,Day
CR-day-12h_28B,Day
CR-day-12h_32B,Day
CR-day-12h_36B,Day
CR-day-12h_40B,Day
CR-day-12h_44B,Day
