ID,Condition
CR-spread_00A,Spread
CR-spread_04A,Spread
CR-spread_08A,Spread
CR-spread_12A,Spread
CR-spread_16A,Spread
CR-spread_20A,Spread
CR-spread_24A,Spread
CR-spread_28A,Spread
CR-spread_32A,Spread
CR-spread_36A,Spread
CR-spread_40A,Spread
CR-spread_44A,Spread
CR-spread_00B,Spread
CR-spread_04B,Spread
CR-spread_08B,Spread
CR-spread_12B,Spread
CR-spread_16B,Spread
CR-spread_20B,Spread
CR-spread_24B,Spread
CR-spread_28B,Spread
CR-spread_32B,Spread
CR-spread_36B,Spread
CR-spread_40B,Spread
CR-spread_44B,Spread
CR-night-12h_00A,Night
CR-night-12h_04A,Night
CR-night-12h_08A,Night
CR-night-12h_12A,Night
CR-night-12h_16A,Night
CR-night-12h_20A,Night
CR-night-12h_24A,Night
CR-night-12h_28A,Night
CR-night-12h_32A,Night
CR-night-12h_36A,Night
CR-night-12h_40A,Night
CR-night-12h_44A,Night
CR-night-12h_00B,Night
CR-night-12h_04B,Night
CR-night-12h_08B,Night
CR-night-12h_12B,Night
CR-night-12h_16B,Night
CR-night-12h_20B,Night
CR-night-12h_24B,Night
CR-night-12h_28B,Night
CR-night-12h_32B,Night
CR-night-12h_36B,Night
CR-night-12h_40B,Night
CR-night-12h_44B,Night
