ID,Condition
CR-day-12h_00A,Day12
CR-day-12h_04A,Day12
CR-day-12h_08A,Day12
CR-day-12h_12A,Day12
CR-day-12h_16A,Day12
CR-day-12h_20A,Day12
CR-day-12h_24A,Day12
CR-day-12h_28A,Day12
CR-day-12h_32A,Day12
CR-day-12h_36A,Day12
CR-day-12h_40A,Day12
CR-day-12h_44A,Day12
CR-day-12h_00B,Day12
CR-day-12h_04B,Day12
CR-day-12h_08B,Day12
CR-day-12h_12B,Day12
CR-day-12h_16B,Day12
CR-day-12h_20B,Day12
CR-day-12h_24B,Day12
CR-day-12h_28B,Day12
CR-day-12h_32B,Day12
CR-day-12h_36B,Day12
CR-day-12h_40B,Day12
CR-day-12h_44B,Day12
CR-day-2h_00A,Day2
CR-day-2h_04A,Day2
CR-day-2h_08A,Day2
CR-day-2h_12A,Day2
CR-day-2h_16A,Day2
CR-day-2h_20A,Day2
CR-day-2h_24A,Day2
CR-day-2h_28A,Day2
CR-day-2h_32A,Day2
CR-day-2h_36A,Day2
CR-day-2h_40A,Day2
CR-day-2h_44A,Day2
CR-day-2h_00B,Day2
CR-day-2h_04B,Day2
CR-day-2h_08B,Day2
CR-day-2h_12B,Day2
CR-day-2h_16B,Day2
CR-day-2h_20B,Day2
CR-day-2h_24B,Day2
CR-day-2h_28B,Day2
CR-day-2h_32B,Day2
CR-day-2h_36B,Day2
CR-day-2h_40B,Day2
CR-day-2h_44B,Day2
