ID,Condition
CR-night-12h_00A,Night12
CR-night-12h_04A,Night12
CR-night-12h_08A,Night12
CR-night-12h_12A,Night12
CR-night-12h_16A,Night12
CR-night-12h_20A,Night12
CR-night-12h_24A,Night12
CR-night-12h_28A,Night12
CR-night-12h_32A,Night12
CR-night-12h_36A,Night12
CR-night-12h_40A,Night12
CR-night-12h_44A,Night12
CR-night-12h_00B,Night12
CR-night-12h_04B,Night12
CR-night-12h_08B,Night12
CR-night-12h_12B,Night12
CR-night-12h_16B,Night12
CR-night-12h_20B,Night12
CR-night-12h_24B,Night12
CR-night-12h_28B,Night12
CR-night-12h_32B,Night12
CR-night-12h_36B,Night12
CR-night-12h_40B,Night12
CR-night-12h_44B,Night12
CR-night-2h_00A,Night2
CR-night-2h_04A,Night2
CR-night-2h_08A,Night2
CR-night-2h_12A,Night2
CR-night-2h_16A,Night2
CR-night-2h_20A,Night2
CR-night-2h_24A,Night2
CR-night-2h_28A,Night2
CR-night-2h_32A,Night2
CR-night-2h_36A,Night2
CR-night-2h_40A,Night2
CR-night-2h_44A,Night2
CR-night-2h_00B,Night2
CR-night-2h_04B,Night2
CR-night-2h_08B,Night2
CR-night-2h_12B,Night2
CR-night-2h_16B,Night2
CR-night-2h_20B,Night2
CR-night-2h_24B,Night2
CR-night-2h_28B,Night2
CR-night-2h_32B,Night2
CR-night-2h_36B,Night2
CR-night-2h_40B,Night2
CR-night-2h_44B,Night2
